name,vote,voteID
R. Ambrozik,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
M. Augustyn,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
A. Bielan,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
G. Bierecki,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
P. Błaszczyk,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
A. Bobko,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
R. Bonisławski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
W. Bonkowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
M. Borowski,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
B. Borusewicz,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
M. Budner,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
J. Chróścikowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
Z. Cichoń,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
L. Czarnobaj,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
G. Czelej,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
J. Czerwiński,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
D. Czudowska,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
W. Dobkowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
J. Dobrzyński,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
R. Dowhan,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
J. Duda,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
J. Fedorowicz,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
P. Florek,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
R. Gaweł,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
A. Gawęda,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
S. Gogacz,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
A. Grabowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
T. Grodzki,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
M. Grubski,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
J. Hamerski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
J.M. Jackowski,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
A. Kamiński,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
R. Ambrozik,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
A.M. Anders,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
M. Augustyn,przec.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
S. Karczewski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
W. Kilian,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
K. Kleina,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
B. Klich,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
A. Bielan,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
G. Bierecki,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
P. Błaszczyk,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
A. Bobko,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
A. Kobiak,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
M. Koc,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
S. Kogut,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
W. Komarnicki,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
R. Bonisławski,wstrz.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
W. Bonkowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
M. Borowski,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
R. Ambrozik,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
A.M. Anders,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
M. Augustyn,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
T. Kopeć,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
M. Kopiczko,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
W. Kraska,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
J.F. Libicki,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
B. Borusewicz,przec.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
B. Borys-Damięcka,przec.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
M. Budner,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
J. Chróścikowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
A. Bielan,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
G. Bierecki,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
P. Błaszczyk,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
A. Bobko,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
R. Ambrozik,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
A.M. Anders,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
M. Augustyn,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
M. Łuczak,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
J. Łyczak,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
R. Majer,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
R. Mamątow,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
Z. Cichoń,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
L. Czarnobaj,wstrz.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
G. Czelej,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
J. Czerwiński,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
R. Bonisławski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
W. Bonkowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
M. Borowski,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
B. Borusewicz,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
A. Bielan,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
G. Bierecki,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
P. Błaszczyk,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
M. Martynowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
Ł. Mikołajczyk,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
A. Mioduszewski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
A. Misiołek,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
D. Czudowska,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
W. Dobkowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
J. Dobrzyński,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
R. Dowhan,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8027.html"
R. Ambrozik,przec.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8024.html"
A.M. Anders,przec.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8024.html"
M. Augustyn,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8024.html"
B. Borys-Damięcka,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
M. Budner,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
J. Chróścikowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8026.html"
A. Bobko,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
R. Bonisławski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
W. Bonkowski,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
M. Borowski,nie gł.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,8025.html"
K. Mróz,za,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,4945.html"
